RAZON;DEPARTAMENTO DOMICILIO;INGRESOS;GANANCIA;ACTIVOS;PASIVOS;CATE;SECTOR
Empresa 1;VALLE;160955.3;3360.4;81904.6;81904.6;0;MANUFACTURA
Empresa 2;BOGOTA D.C.;160893.5;1701.6;35794.9;35794.9;0;SERVICIOS
Empresa 3;BOGOTA D.C.;160483.8;7163.6;74671.7;74671.7;0;COMERCIO
Empresa 4;BOGOTA D.C.;160312.4;726.9;94278.9;94278.9;0;COMERCIO
Empresa 5;BOLIVAR;160273.6;1264.4;152267.6;152267.6;0;SERVICIOS
Empresa 6;BOGOTA D.C.;160184.0;36337.3;15550.6;15550.6;0;SERVICIOS
Empresa 7;ANTIOQUIA;160086.9;2611.3;93943.3;93943.3;1;MANUFACTURA
Empresa 8;ANTIOQUIA;160080.2;487.5;24880.2;24880.2;1;SERVICIOS
Empresa 9;BOLIVAR;160010.4;20443.4;409420.2;409420.2;1;SERVICIOS
Empresa 10;VALLE;159759.9;-4828.3;104932.5;104932.5;1;MANUFACTURA
Empresa 11;BOGOTA D.C.;159409.8;2233.5;91704.5;91704.5;1;SERVICIOS
Empresa 12;CESAR;159306.9;3758.0;177561.1;177561.1;1;SERVICIOS
Empresa 13;CALDAS;159173.6;1293.4;48176.5;48176.5;1;MANUFACTURA
Empresa 14;RISARALDA;159137.6;3829.8;19716.8;19716.8;1;COMERCIO
Empresa 15;VALLE;158953.0;-7104.5;204863.1;204863.1;1;MANUFACTURA
Empresa 16;ANTIOQUIA;158909.2;2449.0;16419.1;16419.1;1;COMERCIO
Empresa 17;META;158752.1;1546.3;20794.4;20794.4;1;COMERCIO
Empresa 18;BOGOTA D.C.;158682.2;159.0;69105.1;69105.1;1;COMERCIO
Empresa 19;BOGOTA D.C.;158388.4;1289.7;33802.6;33802.6;1;COMERCIO
Empresa 20;VALLE;158354.0;10574.5;151305.4;151305.4;1;SERVICIOS
Empresa 21;BOGOTA D.C.;158264.1;15331.6;29144.3;29144.3;1;MANUFACTURA
Empresa 22;BOGOTA D.C.;158147.7;2823.7;19806.7;19806.7;1;SERVICIOS
Empresa 23;BOGOTA D.C.;157755.3;18958.2;670574.6;670574.6;1;SERVICIOS
Empresa 24;ATLANTICO;157453.6;-1907.6;94212.9;94212.9;1;OTRO
Empresa 25;BOGOTA D.C.;157419.1;4361.3;106189.9;106189.9;1;OTRO
Empresa 26;ANTIOQUIA;157360.5;9494.9;69472.4;69472.4;1;MANUFACTURA
Empresa 27;BOGOTA D.C.;157180.2;5789.1;50162.1;50162.1;1;OTRO
Empresa 28;ANTIOQUIA;157126.5;9166.4;49230.2;49230.2;1;MANUFACTURA
Empresa 29;BOGOTA D.C.;157013.7;9637.0;13830.7;13830.7;1;OTRO
Empresa 30;ANTIOQUIA;156928.0;1350.8;29302.4;29302.4;1;COMERCIO
Empresa 31;VALLE;156636.7;11676.1;37548.5;37548.5;1;OTRO
Empresa 32;BOGOTA D.C.;156593.1;8251.9;179596.0;179596.0;1;COMERCIO
Empresa 33;ATLANTICO;156527.5;17893.8;137250.4;137250.4;1;SERVICIOS
Empresa 34;BOGOTA D.C.;156427.5;3740.2;82427.4;82427.4;1;COMERCIO
Empresa 35;BOGOTA D.C.;155966.1;5973.7;22628.3;22628.3;1;SERVICIOS
Empresa 36;SANTANDER;155959.1;4793.1;39131.0;39131.0;1;MANUFACTURA
Empresa 37;CHOCO ;155832.5;50.4;28031.7;28031.7;1;SERVICIOS
Empresa 38;BOGOTA D.C.;155315.3;10415.8;29208.4;29208.4;1;MANUFACTURA
Empresa 39;ANTIOQUIA;155140.4;5192.0;12935.8;12935.8;1;OTRO
Empresa 40;BOGOTA D.C.;155041.4;9417.7;34475.9;34475.9;1;COMERCIO
Empresa 41;VALLE;154978.5;4289.5;193339.2;193339.2;1;MANUFACTURA
Empresa 42;BOGOTA D.C.;154945.5;9787.8;80583.3;80583.3;1;MANUFACTURA
Empresa 43;BOGOTA D.C.;154709.3;8553.2;142763.9;142763.9;1;COMERCIO
Empresa 44;VALLE;154652.0;20051.3;41142.5;41142.5;1;SERVICIOS
Empresa 45;ANTIOQUIA;154437.3;499.5;53150.0;53150.0;1;COMERCIO
Empresa 46;BOGOTA D.C.;154225.4;3968.4;108430.7;108430.7;1;MANUFACTURA
Empresa 47;ANTIOQUIA;154221.7;2201.5;31570.1;31570.1;1;SERVICIOS
Empresa 48;VALLE;154191.5;4164.2;86547.7;86547.7;1;MANUFACTURA
Empresa 49;ANTIOQUIA;154057.8;4639.9;74307.0;74307.0;1;MANUFACTURA
Empresa 50;BOYACA;154018.8;5554.4;43220.5;43220.5;1;COMERCIO
Empresa 51;BOLIVAR;153939.7;-978.9;223667.4;223667.4;1;SERVICIOS
Empresa 52;BOGOTA D.C.;153906.5;19143.0;342495.4;342495.4;1;SERVICIOS
Empresa 53;QUINDIO;153893.9;2028.1;63256.3;63256.3;1;MANUFACTURA
Empresa 54;ATLANTICO;153887.3;12622.3;81759.7;81759.7;1;MANUFACTURA
Empresa 55;SANTANDER;153441.4;2459.8;66699.0;66699.0;1;COMERCIO
Empresa 56;BOGOTA D.C.;153295.6;-6441.4;69601.6;69601.6;1;COMERCIO
Empresa 57;CUNDINAMARCA;153142.1;3590.6;167020.3;167020.3;1;COMERCIO
Empresa 58;BOGOTA D.C.;153088.4;-221.6;140885.3;140885.3;1;COMERCIO
Empresa 59;RISARALDA;152993.7;1832.4;34566.7;34566.7;1;COMERCIO
Empresa 60;BOGOTA D.C.;152872.1;12990.3;23072.8;23072.8;1;COMERCIO
Empresa 61;BOGOTA D.C.;152859.5;11521.0;91446.7;91446.7;1;SERVICIOS
Empresa 62;ATLANTICO;152744.4;6556.8;24034.5;24034.5;1;MANUFACTURA
Empresa 63;BOGOTA D.C.;152743.0;7274.2;75853.0;75853.0;1;SERVICIOS
Empresa 64;CUNDINAMARCA;152730.6;1544.5;80373.7;80373.7;1;COMERCIO
Empresa 65;BOGOTA D.C.;152438.5;824.1;15270.9;15270.9;1;SERVICIOS
Empresa 66;ATLANTICO;152199.5;1724.1;43278.4;43278.4;1;COMERCIO
Empresa 67;ANTIOQUIA;152150.2;3337.0;11304.7;11304.7;1;SERVICIOS
Empresa 68;ATLANTICO;152042.8;537.5;26069.7;26069.7;1;MANUFACTURA
Empresa 69;SANTANDER;152035.5;4973.5;37702.9;37702.9;1;SERVICIOS
Empresa 70;HUILA ;152009.6;43625.5;86697.5;86697.5;1;SERVICIOS
Empresa 71;ANTIOQUIA;151820.5;13025.5;87480.1;87480.1;1;MANUFACTURA
Empresa 72;BOGOTA D.C.;151464.8;2821.4;40510.5;40510.5;1;SERVICIOS
Empresa 73;CUNDINAMARCA;150923.3;3485.7;130730.1;130730.1;1;COMERCIO
Empresa 74;BOGOTA D.C.;150878.9;-22978.3;73575.5;73575.5;1;OTRO
Empresa 75;BOGOTA D.C.;150803.9;7148.6;39831.7;39831.7;1;COMERCIO
Empresa 76;HUILA ;150792.1;6736.3;36521.3;36521.3;1;OTRO
Empresa 77;BOGOTA D.C.;150743.0;22066.2;69496.5;69496.5;1;COMERCIO
Empresa 78;VALLE;150657.9;1950.3;96389.7;96389.7;1;COMERCIO
Empresa 79;ATLANTICO;150240.8;5850.3;82300.7;82300.7;1;COMERCIO
Empresa 80;ANTIOQUIA;150175.1;9123.8;49308.2;49308.2;1;OTRO
Empresa 81;BOGOTA D.C.;150020.1;4748.2;42930.2;42930.2;1;SERVICIOS
Empresa 82;BOGOTA D.C.;149998.7;-10975.6;72340.8;72340.8;1;MANUFACTURA
Empresa 83;CUNDINAMARCA;149628.6;3059.1;68431.5;68431.5;1;MANUFACTURA
Empresa 84;ANTIOQUIA;149592.1;13213.8;70959.2;70959.2;1;SERVICIOS
Empresa 85;BOGOTA D.C.;149280.1;6241.1;55546.3;55546.3;1;MANUFACTURA
Empresa 86;ANTIOQUIA;149241.0;16100.4;36597.3;36597.3;1;MANUFACTURA
Empresa 87;CUNDINAMARCA;149167.5;4662.7;106616.7;106616.7;1;COMERCIO
Empresa 88;BOGOTA D.C.;149099.5;442.8;135369.6;135369.6;1;OTRO
Empresa 89;BOGOTA D.C.;148834.3;-1911.9;22422.8;22422.8;1;COMERCIO
Empresa 90;ATLANTICO;148523.6;4536.6;36702.7;36702.7;1;COMERCIO
Empresa 91;VALLE;148488.3;-1317.4;60461.5;60461.5;1;SERVICIOS
Empresa 92;ANTIOQUIA;148487.9;-1522.6;64958.7;64958.7;1;MANUFACTURA
Empresa 93;BOGOTA D.C.;148336.4;16091.8;32767.8;32767.8;1;MANUFACTURA
Empresa 94;NORTE DE SANTANDER;148276.4;31780.2;35476.8;35476.8;1;SERVICIOS
Empresa 95;BOGOTA D.C.;148239.8;13008.1;52183.2;52183.2;1;COMERCIO
Empresa 96;BOGOTA D.C. ;148219.3;-4045.2;111868.1;111868.1;1;SERVICIOS
Empresa 97;ATLANTICO;148174.3;14657.0;238596.9;238596.9;1;OTRO
Empresa 98;CUNDINAMARCA;147853.3;-5426.7;81383.4;81383.4;1;COMERCIO
Empresa 99;NARINO;147840.5;16087.0;38721.8;38721.8;1;SERVICIOS
Empresa 100;ANTIOQUIA;147733.4;5321.1;115248.2;115248.2;1;SERVICIOS
Empresa 101;ANTIOQUIA;147621.3;381.7;97156.9;97156.9;1;MANUFACTURA
Empresa 102;ANTIOQUIA;147381.4;-5438.9;125987.7;125987.7;1;MANUFACTURA
Empresa 103;BOGOTA D.C.;147306.2;118468.9;106594.2;106594.2;1;OTRO
Empresa 104;VALLE;146936.6;8143.5;61114.3;61114.3;1;MANUFACTURA
Empresa 105;BOGOTA D.C.;146719.2;6239.7;46480.8;46480.8;1;SERVICIOS
Empresa 106;CUNDINAMARCA;146656.2;-2986.3;46222.0;46222.0;1;COMERCIO
Empresa 107;VALLE;146564.9;7429.7;34191.8;34191.8;1;COMERCIO
Empresa 108;ANTIOQUIA;146533.3;5361.1;7608.7;7608.7;1;COMERCIO
Empresa 109;NORTE DE SANTANDER;146401.7;262.3;62105.8;62105.8;1;MANUFACTURA
Empresa 110;ANTIOQUIA;146322.5;5888.8;68542.7;68542.7;1;COMERCIO
Empresa 111;TOLIMA;146302.8;5764.1;92870.1;92870.1;1;MANUFACTURA
Empresa 112;BOGOTA D.C.;146220.8;2771.7;38096.7;38096.7;1;COMERCIO
Empresa 113;TOLIMA;146199.2;23167.7;37990.4;37990.4;1;SERVICIOS
Empresa 114;BOGOTA D.C.;145992.4;9617.2;30168.4;30168.4;1;COMERCIO
Empresa 115;BOGOTA D.C.;145961.7;7847.5;111105.7;111105.7;1;OTRO
Empresa 116;BOGOTA D.C.;145614.7;228.0;40344.5;40344.5;1;MANUFACTURA
Empresa 117;BOLIVAR;145489.8;3005.1;106437.4;106437.4;1;COMERCIO
Empresa 118;BOGOTA D.C.;145404.4;1428.3;89223.4;89223.4;1;COMERCIO
Empresa 119;BOGOTA D.C.;145145.4;4804.0;77088.1;77088.1;1;MANUFACTURA
Empresa 120;BOGOTA D.C.;145091.7;5320.1;34703.7;34703.7;1;COMERCIO
Empresa 121;BOGOTA D.C.;145080.6;-14169.1;56451.8;56451.8;1;COMERCIO
Empresa 122;VALLE;144921.4;811.8;22498.8;22498.8;1;SERVICIOS
Empresa 123;ANTIOQUIA;144851.4;-13910.1;164909.7;164909.7;1;SERVICIOS
Empresa 124;CUNDINAMARCA;144821.5;6027.6;127996.6;127996.6;1;COMERCIO
Empresa 125;BOGOTA D.C. ;144481.9;-4800.5;135745.8;135745.8;1;MANUFACTURA
Empresa 126;VALLE;144386.0;6385.0;123775.2;123775.2;1;SERVICIOS
Empresa 127;VALLE;144327.0;2487.0;44790.6;44790.6;1;COMERCIO
Empresa 128;VALLE;144277.3;2800.0;18072.4;18072.4;1;COMERCIO
Empresa 129;ATLANTICO;144258.5;9209.9;64247.5;64247.5;1;COMERCIO
Empresa 130;VALLE;144149.5;-6734.5;266901.0;266901.0;1;OTRO
Empresa 131;CUNDINAMARCA;143922.1;-3284.5;126778.5;126778.5;1;MANUFACTURA
Empresa 132;ANTIOQUIA;143916.0;15269.9;59147.3;59147.3;1;MANUFACTURA
Empresa 133;SANTANDER;143856.4;4231.4;243720.4;243720.4;1;SERVICIOS
Empresa 134;ANTIOQUIA;143685.2;11276.4;65204.2;65204.2;1;SERVICIOS
Empresa 135;ANTIOQUIA;143652.1;1193.0;39530.0;39530.0;1;COMERCIO
Empresa 136;SANTANDER;143496.3;746.9;55275.7;55275.7;1;COMERCIO
Empresa 137;BOGOTA D.C.;143392.1;-297.7;164233.2;164233.2;1;MANUFACTURA
Empresa 138;SANTANDER;143289.0;5693.9;92260.1;92260.1;1;SERVICIOS
Empresa 139;BOGOTA D.C.;143232.2;5656.1;39383.5;39383.5;1;COMERCIO
Empresa 140;BOGOTA D.C.;143231.6;9960.2;453076.8;453076.8;1;OTRO
Empresa 141;BOGOTA D.C.;143165.8;1639.3;123558.6;123558.6;1;COMERCIO
Empresa 142;BOGOTA D.C.;143126.9;7420.3;56305.3;56305.3;1;SERVICIOS
Empresa 143;CAUCA;142980.3;497.6;34650.0;34650.0;1;COMERCIO
Empresa 144;BOGOTA D.C. ;142803.9;9019.9;158807.0;158807.0;1;OTRO
Empresa 145;SANTANDER;142637.2;6885.7;32160.8;32160.8;1;OTRO
Empresa 146;BOGOTA D.C.;142387.1;142575.7;90.0;90.0;1;SERVICIOS
Empresa 147;ATLANTICO;142387.0;1245.2;54808.9;54808.9;1;COMERCIO
Empresa 148;BOGOTA D.C.;142331.9;7478.2;43247.8;43247.8;1;SERVICIOS
Empresa 149;BOGOTA D.C.;142269.5;-6247.2;58229.0;58229.0;1;SERVICIOS
Empresa 150;BOGOTA D.C.;141728.7;100854.4;421237.9;421237.9;1;OTRO
Empresa 151;BOGOTA D.C.;141521.6;7477.8;62682.2;62682.2;1;SERVICIOS
Empresa 152;BOGOTA D.C.;141339.8;36059.7;107367.9;107367.9;1;OTRO
Empresa 153;CORDOBA;140831.4;-27739.8;475835.9;475835.9;1;SERVICIOS
Empresa 154;BOGOTA D.C.;140720.0;-72488.0;277009.0;277009.0;1;SERVICIOS
Empresa 155;BOGOTA D.C.;140651.2;65169.9;54302.4;54302.4;1;OTRO
Empresa 156;BOGOTA D.C.;140583.6;1925.6;43704.0;43704.0;1;SERVICIOS
Empresa 157;ANTIOQUIA;140346.0;1599.0;59211.0;59211.0;1;COMERCIO
Empresa 158;ANTIOQUIA;140252.5;2051.9;58640.3;58640.3;1;SERVICIOS
Empresa 159;CUNDINAMARCA;140177.8;2427.5;30546.4;30546.4;1;COMERCIO
Empresa 160;VALLE;139981.9;523.2;15368.0;15368.0;1;SERVICIOS
Empresa 161;ANTIOQUIA;139980.2;1350.4;195466.1;195466.1;1;OTRO
Empresa 162;ANTIOQUIA;139963.4;-364.4;62204.5;62204.5;1;COMERCIO
Empresa 163;CUNDINAMARCA;139863.1;-13801.1;493001.2;493001.2;1;MANUFACTURA
Empresa 164;ANTIOQUIA;139729.4;1038.5;78517.1;78517.1;1;SERVICIOS
Empresa 165;ANTIOQUIA;139620.0;5394.4;78261.5;78261.5;1;MANUFACTURA
Empresa 166;VALLE;139607.5;7581.6;52828.6;52828.6;1;MANUFACTURA
Empresa 167;BOGOTA D.C.;139573.5;1135.7;61739.5;61739.5;1;COMERCIO
Empresa 168;RISARALDA;139313.0;5180.2;13001.7;13001.7;1;COMERCIO
Empresa 169;CUNDINAMARCA;139190.2;10115.0;71402.9;71402.9;1;MANUFACTURA
Empresa 170;CUNDINAMARCA;139125.9;-73.0;26932.4;26932.4;1;COMERCIO
Empresa 171;BOGOTA D.C.;139036.0;6161.8;46758.0;46758.0;1;COMERCIO
Empresa 172;BOGOTA D.C.;138546.3;6753.9;49298.3;49298.3;1;COMERCIO
Empresa 173;CUNDINAMARCA;138511.1;17382.2;38609.2;38609.2;1;MANUFACTURA
Empresa 174;CESAR;138384.4;10532.6;80457.3;80457.3;1;SERVICIOS
Empresa 175;CORDOBA;138286.9;2140.0;22603.9;22603.9;1;COMERCIO
Empresa 176;NORTE DE SANTANDER;138253.9;724.8;34566.2;34566.2;1;SERVICIOS
Empresa 177;BOGOTA D.C.;138113.0;1799.4;46469.4;46469.4;1;SERVICIOS
Empresa 178;BOGOTA D.C.;138010.8;2179.2;40531.4;40531.4;1;MANUFACTURA
Empresa 179;ANTIOQUIA;137966.3;17258.1;188506.8;188506.8;1;COMERCIO
Empresa 180;NARINO;137870.3;27279.6;87742.1;87742.1;1;SERVICIOS
Empresa 181;BOGOTA D.C.;137766.7;-8001.8;278170.8;278170.8;1;SERVICIOS
Empresa 182;SANTANDER;137652.4;7126.9;32787.8;32787.8;1;MANUFACTURA
Empresa 183;BOGOTA D.C.;137481.7;3571.0;57093.4;57093.4;1;COMERCIO
Empresa 184;BOGOTA D.C.;137129.3;4355.8;85755.6;85755.6;1;SERVICIOS
Empresa 185;VALLE;136961.1;6062.6;26095.8;26095.8;1;COMERCIO
Empresa 186;BOGOTA D.C.;136469.6;3201.4;28016.6;28016.6;1;COMERCIO
Empresa 187;ANTIOQUIA;136418.8;112079.6;13917.3;13917.3;1;SERVICIOS
Empresa 188;ANTIOQUIA;136239.3;1835.7;49992.8;49992.8;1;COMERCIO
Empresa 189;VALLE;136030.5;1692.0;93876.6;93876.6;1;COMERCIO
Empresa 190;ANTIOQUIA;135968.0;6567.3;62863.5;62863.5;1;MANUFACTURA
Empresa 191;ANTIOQUIA;135818.3;5251.1;37687.0;37687.0;1;SERVICIOS
Empresa 192;BOGOTA D.C.;135616.0;10908.3;51380.6;51380.6;1;SERVICIOS
Empresa 193;VALLE;135539.6;1796.5;45587.9;45587.9;1;COMERCIO
Empresa 194;BOGOTA D.C.;135283.5;1419.1;84036.3;84036.3;1;SERVICIOS
Empresa 195;BOGOTA D.C.;135084.2;64812.4;44898.0;44898.0;1;SERVICIOS
Empresa 196;ATLANTICO;134899.1;864.5;63511.7;63511.7;1;COMERCIO
Empresa 197;BOGOTA D.C.;134799.0;9627.1;115202.1;115202.1;1;MANUFACTURA
Empresa 198;NORTE DE SANTANDER;134755.9;2620.0;43937.6;43937.6;1;COMERCIO
Empresa 199;BOGOTA D.C.;134493.4;8325.0;45701.0;45701.0;1;MANUFACTURA
Empresa 200;BOGOTA D.C.;134245.6;47.8;62917.6;62917.6;1;COMERCIO
Empresa 201;BOGOTA D.C.;134117.1;4027.3;32693.6;32693.6;1;SERVICIOS
Empresa 202;SANTANDER;134116.4;8499.8;48119.1;48119.1;1;COMERCIO
Empresa 203;CUNDINAMARCA;134090.5;12268.9;18053.4;18053.4;1;MANUFACTURA
Empresa 204;CUNDINAMARCA;133995.0;9913.6;26864.9;26864.9;1;SERVICIOS
Empresa 205;BOGOTA D.C.;133906.6;1896.3;88735.9;88735.9;1;MANUFACTURA
Empresa 206;VALLE;133896.5;1117.7;24261.8;24261.8;1;COMERCIO
Empresa 207;RISARALDA;133765.5;2545.5;5286.2;5286.2;1;COMERCIO
Empresa 208;BOGOTA D.C.;133443.5;595.9;18715.1;18715.1;1;SERVICIOS
Empresa 209;SANTANDER;133223.2;13055.2;12135.5;12135.5;1;OTRO
Empresa 210;BOGOTA D.C.;133159.3;24255.6;155330.9;155330.9;1;OTRO
Empresa 211;BOGOTA D.C.;133031.3;-5536.7;35023.1;35023.1;1;COMERCIO
Empresa 212;META;132807.1;205.2;21624.4;21624.4;1;COMERCIO
Empresa 213;VALLE;132746.6;109344.5;15594.7;15594.7;1;OTRO
Empresa 214;BOGOTA D.C.;132475.8;-6923.4;79994.7;79994.7;1;MANUFACTURA
Empresa 215;CUNDINAMARCA;132253.6;53821.6;48298.3;48298.3;1;COMERCIO
Empresa 216;ANTIOQUIA;132214.9;655.9;42513.5;42513.5;1;MANUFACTURA
Empresa 217;ANTIOQUIA;132211.8;2343.6;4387.7;4387.7;1;COMERCIO
Empresa 218;BOGOTA D.C.;132152.3;472.0;55814.4;55814.4;1;COMERCIO
Empresa 219;CAUCA;132134.0;6083.2;61468.8;61468.8;1;MANUFACTURA
Empresa 220;META;132060.7;8031.1;31139.1;31139.1;1;OTRO
Empresa 221;NORTE DE SANTANDER;132038.0;293.6;41134.0;41134.0;1;MANUFACTURA
Empresa 222;BOGOTA D.C. ;132003.2;973.6;11371.2;11371.2;1;SERVICIOS
Empresa 223;BOGOTA D.C.;131916.8;-4294.7;81297.2;81297.2;1;SERVICIOS
Empresa 224;VALLE;131818.9;3418.0;41946.5;41946.5;1;COMERCIO
Empresa 225;BOGOTA D.C.;131762.3;-370.5;18075.1;18075.1;1;SERVICIOS
Empresa 226;QUINDIO;131633.5;5582.0;28036.4;28036.4;1;COMERCIO
Empresa 227;BOGOTA D.C.;131401.5;-7088.8;96998.5;96998.5;1;SERVICIOS
Empresa 228;BOGOTA D.C.;131350.4;67112.5;846086.4;846086.4;1;OTRO
Empresa 229;ANTIOQUIA;131313.0;1002.2;47682.7;47682.7;1;COMERCIO
Empresa 230;SANTANDER;131247.6;-4892.6;50697.3;50697.3;1;MANUFACTURA
Empresa 231;CALDAS;131242.6;193.4;12853.1;12853.1;1;SERVICIOS
Empresa 232;BOGOTA D.C.;131015.1;531.0;39744.6;39744.6;1;SERVICIOS
Empresa 233;ATLANTICO;130884.9;2340.4;52012.9;52012.9;1;SERVICIOS
Empresa 234;BOGOTA D.C. ;130836.0;657.2;81794.2;81794.2;1;COMERCIO
Empresa 235;BOGOTA D.C.;130818.3;588.6;32844.8;32844.8;1;COMERCIO
Empresa 236;BOGOTA D.C.;130815.3;86.6;36597.1;36597.1;1;COMERCIO
Empresa 237;ATLANTICO;130681.2;4641.3;74032.5;74032.5;1;COMERCIO
Empresa 238;BOGOTA D.C.;130556.1;137302.9;2230.1;2230.1;1;SERVICIOS
Empresa 239;BOGOTA D.C.;130518.9;31006.4;16458.0;16458.0;1;SERVICIOS
Empresa 240;BOGOTA D.C. ;130517.3;31871.6;23983.1;23983.1;1;SERVICIOS
Empresa 241;CUNDINAMARCA;130218.4;4388.2;92419.5;92419.5;1;COMERCIO
Empresa 242;BOYACA;130216.8;945.8;26243.1;26243.1;1;COMERCIO
Empresa 243;ANTIOQUIA;130208.3;2829.1;23857.9;23857.9;1;SERVICIOS
Empresa 244;ANTIOQUIA;130208.2;4115.1;96944.0;96944.0;1;MANUFACTURA
Empresa 245;ANTIOQUIA;130101.4;2828.8;25307.5;25307.5;1;COMERCIO
Empresa 246;CUNDINAMARCA;130039.8;1127.4;40213.2;40213.2;1;MANUFACTURA
Empresa 247;VALLE;129911.2;567.1;41203.5;41203.5;1;COMERCIO
Empresa 248;ANTIOQUIA;129788.5;591.4;7834.6;7834.6;1;COMERCIO
Empresa 249;CORDOBA;129733.0;2206.8;52867.4;52867.4;1;SERVICIOS
Empresa 250;SAN ANDRES Y PROVIDENCIA;129665.6;3948.7;5771.7;5771.7;1;COMERCIO
Empresa 251;ANTIOQUIA;129310.1;-3248.5;153298.4;153298.4;1;MANUFACTURA
Empresa 252;ANTIOQUIA;129223.8;8622.2;27936.8;27936.8;1;MANUFACTURA
Empresa 253;ANTIOQUIA;129092.2;-11657.8;95782.6;95782.6;1;OTRO
Empresa 254;MAGDALENA;129070.1;1351.3;42638.7;42638.7;1;MANUFACTURA
Empresa 255;ANTIOQUIA;129068.3;4829.4;18950.4;18950.4;1;SERVICIOS
Empresa 256;ANTIOQUIA;128947.8;5617.1;46067.1;46067.1;1;MANUFACTURA
Empresa 257;BOGOTA D.C.;128911.1;-1316.1;71409.3;71409.3;1;SERVICIOS
Empresa 258;ANTIOQUIA;128692.6;86.5;9039.0;9039.0;1;COMERCIO
Empresa 259;RISARALDA;128475.5;8036.5;84092.4;84092.4;1;MANUFACTURA
Empresa 260;BOGOTA D.C.;128445.3;18658.0;137814.6;137814.6;1;OTRO
Empresa 261;CAUCA;128444.9;2412.8;76439.1;76439.1;1;SERVICIOS
Empresa 262;BOGOTA D.C.;128113.3;45477.7;54505.8;54505.8;1;SERVICIOS
Empresa 263;BOGOTA D.C.;127992.3;-24349.6;233972.7;233972.7;1;MANUFACTURA
Empresa 264;ATLANTICO;127917.4;3244.0;61629.4;61629.4;1;COMERCIO
Empresa 265;VALLE;127910.0;6436.3;82304.6;82304.6;1;MANUFACTURA
Empresa 266;BOGOTA D.C.;127879.9;18122.7;47820.9;47820.9;1;SERVICIOS
Empresa 267;BOGOTA D.C.;127575.0;-857.8;56414.4;56414.4;1;COMERCIO
Empresa 268;ATLANTICO;127286.7;2778.8;161569.1;161569.1;1;SERVICIOS
Empresa 269;BOGOTA D.C.;127259.7;8856.5;103683.7;103683.7;1;OTRO
Empresa 270;BOGOTA D.C.;127089.6;1551.5;19189.9;19189.9;1;SERVICIOS
Empresa 271;CAUCA;126956.8;4200.1;16638.1;16638.1;1;MANUFACTURA
Empresa 272;ANTIOQUIA;126821.9;727.0;71657.4;71657.4;1;MANUFACTURA
Empresa 273;MAGDALENA;126746.3;775.3;25034.1;25034.1;1;COMERCIO
Empresa 274;CASANARE;126598.7;9679.7;35452.3;35452.3;1;SERVICIOS
Empresa 275;BOGOTA D.C.;126319.2;-4608.0;955242.4;955242.4;1;OTRO
Empresa 276;BOGOTA D.C. ;126306.2;547.2;18353.2;18353.2;1;SERVICIOS
Empresa 277;BOGOTA D.C.;126234.0;15117.5;31495.3;31495.3;1;SERVICIOS
Empresa 278;VALLE;126131.5;2424.4;58083.1;58083.1;1;SERVICIOS
Empresa 279;CUNDINAMARCA;126123.1;-5094.3;130179.2;130179.2;1;MANUFACTURA
Empresa 280;VALLE;126108.1;4246.9;43498.7;43498.7;1;MANUFACTURA
Empresa 281;BOGOTA D.C.;125893.6;1470.1;85838.2;85838.2;1;SERVICIOS
Empresa 282;ANTIOQUIA;125844.3;2876.7;65979.9;65979.9;1;COMERCIO
Empresa 283;BOGOTA D.C.;125637.4;13441.4;56097.6;56097.6;1;COMERCIO
Empresa 284;ANTIOQUIA;125541.8;1156.3;57503.7;57503.7;1;COMERCIO
Empresa 285;BOGOTA D.C.;125425.0;7895.7;39903.4;39903.4;1;MANUFACTURA
Empresa 286;BOGOTA D.C.;125345.9;2264.9;47553.8;47553.8;1;OTRO
Empresa 287;ANTIOQUIA;125261.6;5938.9;213341.7;213341.7;1;COMERCIO
Empresa 288;BOGOTA D.C.;125258.9;1014.4;44119.7;44119.7;1;OTRO
Empresa 289;BOGOTA D.C.;125125.5;1956.5;77223.8;77223.8;1;COMERCIO
Empresa 290;BOGOTA D.C.;125067.7;653.1;15763.4;15763.4;1;SERVICIOS
Empresa 291;BOGOTA D.C.;125057.3;39771.0;439795.5;439795.5;1;SERVICIOS
Empresa 292;BOGOTA D.C.;124633.2;-928.3;36208.1;36208.1;1;COMERCIO
Empresa 293;RISARALDA;124590.8;1800.8;70234.9;70234.9;1;SERVICIOS
Empresa 294;VALLE;124324.5;429.3;17553.4;17553.4;1;SERVICIOS
Empresa 295;BOGOTA D.C.;124130.1;9692.9;115687.1;115687.1;1;SERVICIOS
Empresa 296;BOGOTA D.C.;124122.7;-4593.8;91813.5;91813.5;1;COMERCIO
Empresa 297;SANTANDER;124062.7;121.4;40384.7;40384.7;1;COMERCIO
Empresa 298;CAUCA;123732.7;4532.9;58406.5;58406.5;1;MANUFACTURA
Empresa 299;BOGOTA D.C.;123687.7;4912.7;96932.5;96932.5;1;COMERCIO
Empresa 300;BOGOTA D.C.;123624.9;125598.1;146.5;146.5;1;SERVICIOS
Empresa 301;VALLE;123571.8;2562.0;25481.8;25481.8;1;COMERCIO
Empresa 302;ANTIOQUIA;123537.7;5883.3;27141.8;27141.8;1;COMERCIO
Empresa 303;BOGOTA D.C.;123491.2;392.9;21902.3;21902.3;1;SERVICIOS
