RAZON;DEPARTAMENTO DOMICILIO;INGRESOS;GANANCIA;ACTIVOS;PASIVOS;CATE;SECTOR
Empresa 6751;NORTE DE SANTANDER;14544.3;2340.7;1804.5;1804.5;0;SERVICIOS
Empresa 6752;BOGOTA D.C.;14543.6;1062.1;3004.8;3004.8;0;SERVICIOS
Empresa 6753;ANTIOQUIA;14542.8;783.7;5694.8;5694.8;1;COMERCIO
Empresa 6754;BOGOTA D.C.;14542.1;256.5;3922.4;3922.4;0;COMERCIO
Empresa 6755;BOGOTA D.C.;14540.6;621.1;5314.4;5314.4;0;SERVICIOS
Empresa 6756;BOGOTA D.C.;14535.7;1087.5;8359.8;8359.8;0;SERVICIOS
Empresa 6757;CUNDINAMARCA;14534.6;672.9;5228.9;5228.9;0;MANUFACTURA
Empresa 6758;BOGOTA D.C.;14531.9;6002.4;9727.0;9727.0;0;SERVICIOS
Empresa 6759;BOGOTA D.C.;14527.8;-2854.5;29793.9;29793.9;0;COMERCIO
Empresa 6760;CALDAS;14525.6;419.8;12975.0;12975.0;0;MANUFACTURA
Empresa 6761;BOGOTA D.C.;14523.8;1931.3;4771.7;4771.7;0;SERVICIOS
Empresa 6762;NARINO;14521.3;7.9;13666.8;13666.8;0;COMERCIO
Empresa 6763;NORTE DE SANTANDER;14515.6;781.1;167.3;167.3;0;OTRO
Empresa 6764;BOGOTA D.C.;14514.6;455.7;15162.5;15162.5;0;OTRO
Empresa 6765;ATLANTICO;14508.3;894.5;2889.5;2889.5;0;COMERCIO
Empresa 6766;CUNDINAMARCA;14507.6;1966.9;1000.5;1000.5;0;MANUFACTURA
Empresa 6767;SANTANDER;14503.2;2665.0;12147.8;12147.8;0;SERVICIOS
Empresa 6768;ANTIOQUIA;14502.6;274.5;6996.7;6996.7;1;COMERCIO
Empresa 6769;BOGOTA D.C.;14501.1;3819.7;2517.4;2517.4;0;MANUFACTURA
Empresa 6770;BOGOTA D.C.;14492.7;438.9;11508.4;11508.4;0;COMERCIO
Empresa 6771;BOLIVAR;14491.9;834.1;6983.6;6983.6;0;SERVICIOS
Empresa 6772;ANTIOQUIA;14489.3;2447.9;5143.9;5143.9;1;MANUFACTURA
Empresa 6773;VALLE;14482.1;242.4;5384.0;5384.0;0;COMERCIO
Empresa 6774;NARINO;14481.2;1022.1;7273.6;7273.6;0;OTRO
Empresa 6775;MAGDALENA;14480.8;607.0;9534.4;9534.4;0;MANUFACTURA
Empresa 6776;CALDAS;14474.4;-585.5;14562.6;14562.6;0;SERVICIOS
Empresa 6777;VALLE;14471.7;272.1;2959.2;2959.2;0;OTRO
Empresa 6778;ANTIOQUIA;14470.2;2263.1;12198.9;12198.9;1;COMERCIO
Empresa 6779;CUNDINAMARCA;14469.0;526.0;10252.6;10252.6;0;MANUFACTURA
Empresa 6780;BOGOTA D.C.;14467.1;184.6;4620.2;4620.2;0;SERVICIOS
Empresa 6781;CUNDINAMARCA;14464.1;420.1;5653.2;5653.2;0;SERVICIOS
Empresa 6782;BOGOTA D.C.;14462.2;-1690.3;13029.0;13029.0;0;COMERCIO
Empresa 6783;BOGOTA D.C.;14461.2;711.6;1472.0;1472.0;0;MANUFACTURA
Empresa 6784;ANTIOQUIA;14454.9;-1535.2;16905.7;16905.7;1;MANUFACTURA
Empresa 6785;BOGOTA D.C.;14454.8;31.8;5566.7;5566.7;0;COMERCIO
Empresa 6786;BOGOTA D.C.;14452.9;333.0;2046.3;2046.3;0;MANUFACTURA
Empresa 6787;BOGOTA D.C.;14446.2;176.1;7173.1;7173.1;0;MANUFACTURA
Empresa 6788;RISARALDA;14442.9;1304.0;6409.2;6409.2;0;SERVICIOS
Empresa 6789;ANTIOQUIA;14442.7;1042.1;5652.4;5652.4;1;SERVICIOS
Empresa 6790;ATLANTICO;14439.3;190.0;10025.9;10025.9;0;SERVICIOS
Empresa 6791;VALLE;14437.9;5818.3;20000.0;20000.0;0;OTRO
Empresa 6792;ANTIOQUIA;14429.2;4696.2;11446.6;11446.6;1;MANUFACTURA
Empresa 6793;CUNDINAMARCA;14428.6;691.8;4536.3;4536.3;0;MANUFACTURA
Empresa 6794;ANTIOQUIA;14426.4;475.3;5844.7;5844.7;1;OTRO
Empresa 6795;VALLE;14426.2;422.1;1501.3;1501.3;0;COMERCIO
Empresa 6796;BOGOTA D.C.;14424.1;115.7;3625.6;3625.6;0;COMERCIO
Empresa 6797;ANTIOQUIA;14421.6;1407.0;6002.5;6002.5;1;OTRO
Empresa 6798;BOGOTA D.C.;14421.1;1552.4;11447.6;11447.6;0;SERVICIOS
Empresa 6799;VALLE;14416.1;427.0;9154.6;9154.6;0;SERVICIOS
Empresa 6800;TOLIMA;14415.7;-570.0;4167.5;4167.5;0;COMERCIO
Empresa 6801;BOGOTA D.C.;14414.5;3182.3;3109.1;3109.1;0;SERVICIOS
Empresa 6802;ANTIOQUIA;14414.1;2795.5;5191.6;5191.6;1;MANUFACTURA
Empresa 6803;SANTANDER;14402.6;405.4;8450.4;8450.4;0;OTRO
Empresa 6804;ANTIOQUIA;14401.2;51.2;3047.9;3047.9;1;OTRO
Empresa 6805;BOGOTA D.C.;14394.8;458.3;2436.8;2436.8;0;COMERCIO
Empresa 6806;ANTIOQUIA;14384.3;-101.1;4050.6;4050.6;1;COMERCIO
Empresa 6807;BOGOTA D.C.;14382.4;401.2;2924.5;2924.5;0;SERVICIOS
Empresa 6808;ANTIOQUIA;14381.9;1614.4;4209.0;4209.0;1;SERVICIOS
Empresa 6809;ANTIOQUIA;14380.0;1945.7;8496.6;8496.6;1;SERVICIOS
Empresa 6810;ATLANTICO;14378.4;330.9;7293.7;7293.7;0;COMERCIO
Empresa 6811;ANTIOQUIA;14377.4;18.5;1165.0;1165.0;1;COMERCIO
Empresa 6812;BOGOTA D.C.;14374.3;1826.1;8494.1;8494.1;0;SERVICIOS
Empresa 6813;BOGOTA D.C.;14373.2;140.4;290.0;290.0;0;COMERCIO
Empresa 6814;BOGOTA D.C.;14368.5;148.6;5433.1;5433.1;0;MANUFACTURA
Empresa 6815;SUCRE;14368.2;509.7;3439.4;3439.4;0;MANUFACTURA
Empresa 6816;BOGOTA D.C.;14367.6;3457.6;4203.5;4203.5;0;SERVICIOS
Empresa 6817;BOGOTA D.C.;14366.1;503.6;4329.2;4329.2;0;SERVICIOS
Empresa 6818;ANTIOQUIA;14364.1;92.7;3211.9;3211.9;1;COMERCIO
Empresa 6819;BOGOTA D.C.;14360.3;5122.3;49999.7;49999.7;0;SERVICIOS
Empresa 6820;NARINO;14358.1;926.2;6744.8;6744.8;0;OTRO
Empresa 6821;ANTIOQUIA;14356.5;543.5;2654.2;2654.2;1;SERVICIOS
Empresa 6822;SANTANDER;14356.1;345.4;18495.3;18495.3;0;OTRO
Empresa 6823;META;14355.1;231.3;2365.7;2365.7;0;COMERCIO
Empresa 6824;BOGOTA D.C.;14352.0;321.5;3984.4;3984.4;0;COMERCIO
Empresa 6825;ANTIOQUIA;14351.2;274.1;4317.1;4317.1;1;OTRO
Empresa 6826;BOGOTA D.C.;14347.5;135.8;5095.4;5095.4;0;MANUFACTURA
Empresa 6827;SANTANDER;14345.6;199.7;2200.5;2200.5;0;MANUFACTURA
Empresa 6828;BOGOTA D.C.;14343.2;1120.6;13332.1;13332.1;0;SERVICIOS
Empresa 6829;ANTIOQUIA;14341.9;2136.8;1043.4;1043.4;1;COMERCIO
Empresa 6830;BOGOTA D.C.;14340.1;307.8;3722.1;3722.1;0;MANUFACTURA
Empresa 6831;CAUCA;14338.7;1307.5;2079.4;2079.4;0;MANUFACTURA
Empresa 6832;ATLANTICO;14336.6;3695.3;4390.4;4390.4;0;SERVICIOS
Empresa 6833;BOGOTA D.C.;14332.4;942.3;10244.8;10244.8;0;SERVICIOS
Empresa 6834;CUNDINAMARCA;14327.2;293.0;11162.5;11162.5;0;COMERCIO
Empresa 6835;ANTIOQUIA;14326.8;19.3;4621.1;4621.1;1;COMERCIO
Empresa 6836;CUNDINAMARCA;14324.0;128.7;13122.7;13122.7;0;SERVICIOS
Empresa 6837;BOGOTA D.C.;14322.9;13191.9;54497.3;54497.3;0;OTRO
Empresa 6838;ATLANTICO;14314.6;-3718.9;17806.5;17806.5;0;OTRO
Empresa 6839;BOYACA;14314.0;-231.4;679.1;679.1;0;COMERCIO
Empresa 6840;BOGOTA D.C.;14310.8;331.0;2403.4;2403.4;0;COMERCIO
Empresa 6841;CESAR;14306.6;-102.0;15477.6;15477.6;0;COMERCIO
Empresa 6842;CUNDINAMARCA;14303.0;173.4;2385.9;2385.9;0;COMERCIO
Empresa 6843;ANTIOQUIA;14300.4;473.5;1667.7;1667.7;1;SERVICIOS
Empresa 6844;BOGOTA D.C.;14300.2;875.4;4669.7;4669.7;0;COMERCIO
Empresa 6845;SANTANDER;14299.3;80.8;7676.7;7676.7;0;COMERCIO
Empresa 6846;ANTIOQUIA;14293.1;157.8;7554.1;7554.1;1;MANUFACTURA
Empresa 6847;BOGOTA D.C.;14285.3;1013.6;46807.1;46807.1;0;OTRO
Empresa 6848;BOGOTA D.C.;14281.9;1398.0;17034.2;17034.2;0;SERVICIOS
Empresa 6849;ANTIOQUIA;14281.1;329.5;8425.9;8425.9;1;COMERCIO
Empresa 6850;CUNDINAMARCA;14280.9;357.4;6559.3;6559.3;0;COMERCIO
Empresa 6851;BOGOTA D.C.;14280.1;875.5;40571.3;40571.3;0;COMERCIO
Empresa 6852;ANTIOQUIA;14277.3;1628.7;4495.1;4495.1;1;MANUFACTURA
Empresa 6853;BOGOTA D.C.;14276.6;785.3;2841.9;2841.9;0;COMERCIO
Empresa 6854;ANTIOQUIA;14273.5;162.2;6664.2;6664.2;1;SERVICIOS
Empresa 6855;QUINDIO;14272.9;299.1;26092.1;26092.1;0;OTRO
Empresa 6856;BOLIVAR;14270.2;-24.7;13761.4;13761.4;0;COMERCIO
Empresa 6857;BOGOTA D.C.;14267.6;430.4;3739.4;3739.4;0;COMERCIO
Empresa 6858;ANTIOQUIA;14266.6;733.2;3973.1;3973.1;1;COMERCIO
Empresa 6859;BOGOTA D.C.;14265.5;407.1;7046.9;7046.9;0;MANUFACTURA
Empresa 6860;BOGOTA D.C.;14253.1;427.4;11905.0;11905.0;0;OTRO
Empresa 6861;ANTIOQUIA;14252.4;134.8;9217.9;9217.9;1;MANUFACTURA
Empresa 6862;BOGOTA D.C.;14248.4;1571.5;15368.5;15368.5;0;OTRO
Empresa 6863;BOGOTA D.C.;14248.0;886.9;4139.4;4139.4;0;SERVICIOS
Empresa 6864;VALLE;14247.6;2684.7;9690.7;9690.7;0;COMERCIO
Empresa 6865;ATLANTICO;14247.1;1198.6;47228.3;47228.3;0;SERVICIOS
Empresa 6866;BOGOTA D.C.;14243.0;909.2;6052.9;6052.9;0;OTRO
Empresa 6867;VALLE;14240.9;871.9;4791.2;4791.2;0;MANUFACTURA
Empresa 6868;BOGOTA D.C.;14240.4;1468.7;4471.1;4471.1;0;COMERCIO
Empresa 6869;BOGOTA D.C.;14236.1;1887.7;6241.1;6241.1;0;COMERCIO
Empresa 6870;BOGOTA D.C.;14234.3;457.9;3923.0;3923.0;0;SERVICIOS
Empresa 6871;AMAZONAS;14233.6;1415.6;18768.9;18768.9;0;SERVICIOS
Empresa 6872;SANTANDER;14233.1;1121.6;5503.0;5503.0;0;OTRO
Empresa 6873;ANTIOQUIA;14232.7;1532.1;2259.8;2259.8;1;COMERCIO
Empresa 6874;BOGOTA D.C.;14231.5;225.5;14494.9;14494.9;0;MANUFACTURA
Empresa 6875;ATLANTICO;14228.5;2311.9;5977.0;5977.0;0;SERVICIOS
Empresa 6876;CALDAS;14228.2;710.9;237.5;237.5;0;OTRO
Empresa 6877;ANTIOQUIA;14227.5;331.6;5195.0;5195.0;1;MANUFACTURA
Empresa 6878;RISARALDA;14217.1;655.2;1333.9;1333.9;0;COMERCIO
Empresa 6879;SANTANDER;14215.1;1521.7;7897.5;7897.5;0;SERVICIOS
Empresa 6880;BOGOTA D.C.;14212.8;562.4;4058.6;4058.6;0;SERVICIOS
Empresa 6881;CUNDINAMARCA;14211.5;2189.5;822.0;822.0;0;SERVICIOS
Empresa 6882;VALLE;14210.7;525.6;1774.7;1774.7;0;SERVICIOS
Empresa 6883;ANTIOQUIA;14210.1;988.9;951.4;951.4;1;MANUFACTURA
Empresa 6884;MAGDALENA;14207.9;1092.5;12619.7;12619.7;0;OTRO
Empresa 6885;VALLE;14206.6;416.3;2222.8;2222.8;0;SERVICIOS
Empresa 6886;QUINDIO;14204.1;618.4;4686.8;4686.8;0;SERVICIOS
Empresa 6887;BOLIVAR;14202.1;238.9;4923.1;4923.1;0;OTRO
Empresa 6888;BOYACA;14200.0;1443.8;4345.4;4345.4;0;COMERCIO
Empresa 6889;BOGOTA D.C.;14196.5;486.6;5475.6;5475.6;0;COMERCIO
Empresa 6890;ANTIOQUIA;14189.1;1021.0;2976.4;2976.4;1;COMERCIO
Empresa 6891;VALLE;14185.8;22.4;2036.7;2036.7;0;OTRO
Empresa 6892;BOGOTA D.C.;14184.8;448.1;5401.6;5401.6;0;COMERCIO
Empresa 6893;BOGOTA D.C.;14177.7;10953.3;9927.5;9927.5;0;SERVICIOS
Empresa 6894;SANTANDER;14172.7;-543.6;2866.1;2866.1;0;SERVICIOS
Empresa 6895;CUNDINAMARCA;14160.6;522.4;11824.5;11824.5;0;COMERCIO
Empresa 6896;NORTE DE SANTANDER;14160.1;1523.6;5114.5;5114.5;0;SERVICIOS
Empresa 6897;NARINO;14157.1;1339.6;61365.9;61365.9;0;OTRO
Empresa 6898;CUNDINAMARCA;14136.2;7.1;2318.0;2318.0;0;COMERCIO
Empresa 6899;VALLE;14129.9;437.5;29538.3;29538.3;0;COMERCIO
Empresa 6900;ANTIOQUIA;14124.8;805.3;2791.9;2791.9;1;COMERCIO
Empresa 6901;ANTIOQUIA;14124.6;375.4;18645.3;18645.3;1;OTRO
Empresa 6902;CHOCO ;14120.8;359.8;4981.3;4981.3;0;SERVICIOS
Empresa 6903;BOGOTA D.C.;14115.1;915.9;2681.3;2681.3;0;OTRO
Empresa 6904;BOGOTA D.C.;14114.7;74.7;2362.0;2362.0;0;SERVICIOS
Empresa 6905;ANTIOQUIA;14104.1;6964.1;1612.9;1612.9;1;SERVICIOS
Empresa 6906;BOGOTA D.C.;14091.9;1942.5;2005.0;2005.0;0;COMERCIO
Empresa 6907;NORTE DE SANTANDER;14087.9;531.8;12560.2;12560.2;0;MANUFACTURA
Empresa 6908;RISARALDA;14084.0;1347.5;3124.4;3124.4;0;SERVICIOS
Empresa 6909;BOGOTA D.C.;14082.3;1093.0;6567.4;6567.4;0;SERVICIOS
Empresa 6910;BOGOTA D.C.;14077.0;2242.0;4446.6;4446.6;0;COMERCIO
Empresa 6911;CORDOBA;14076.3;5438.0;2629.9;2629.9;0;SERVICIOS
Empresa 6912;BOGOTA D.C.;14076.3;267.4;4839.3;4839.3;0;SERVICIOS
Empresa 6913;BOGOTA D.C.;14069.9;1176.9;4959.7;4959.7;0;SERVICIOS
Empresa 6914;QUINDIO;14068.9;864.3;10264.3;10264.3;0;MANUFACTURA
Empresa 6915;RISARALDA;14068.3;352.5;10274.8;10274.8;0;OTRO
Empresa 6916;BOGOTA D.C.;14064.6;692.2;11868.5;11868.5;0;OTRO
Empresa 6917;BOGOTA D.C.;14062.4;-628.8;28046.9;28046.9;0;OTRO
Empresa 6918;BOGOTA D.C.;14062.0;-212.0;2880.0;2880.0;0;MANUFACTURA
Empresa 6919;BOGOTA D.C.;14060.8;1435.5;2723.2;2723.2;0;SERVICIOS
Empresa 6920;VALLE;14060.3;56.3;2444.2;2444.2;0;COMERCIO
Empresa 6921;VALLE;14058.3;124.1;7529.4;7529.4;0;MANUFACTURA
Empresa 6922;BOGOTA D.C.;14053.7;562.1;331.7;331.7;0;OTRO
Empresa 6923;CUNDINAMARCA;14052.1;501.7;16975.1;16975.1;0;MANUFACTURA
Empresa 6924;HUILA ;14050.5;1827.4;30142.4;30142.4;0;SERVICIOS
Empresa 6925;CUNDINAMARCA;14049.6;392.6;1667.9;1667.9;0;COMERCIO
Empresa 6926;BOGOTA D.C.;14049.4;117.9;5532.0;5532.0;0;COMERCIO
Empresa 6927;NORTE DE SANTANDER;14048.2;1515.4;22161.6;22161.6;0;OTRO
Empresa 6928;BOGOTA D.C.;14047.7;115.5;6300.2;6300.2;0;COMERCIO
Empresa 6929;VALLE;14044.7;10453.4;31998.3;31998.3;0;SERVICIOS
Empresa 6930;RISARALDA;14040.7;313.1;2775.3;2775.3;0;COMERCIO
Empresa 6931;ATLANTICO;14035.3;939.7;8820.1;8820.1;0;COMERCIO
Empresa 6932;SANTANDER;14035.1;522.1;1518.9;1518.9;0;SERVICIOS
Empresa 6933;ATLANTICO;14033.7;1064.8;4382.5;4382.5;0;COMERCIO
Empresa 6934;BOGOTA D.C.;14033.4;1580.3;2370.9;2370.9;0;COMERCIO
Empresa 6935;BOGOTA D.C.;14030.4;-2480.9;1295.2;1295.2;0;SERVICIOS
Empresa 6936;ATLANTICO;14026.4;209.5;745.2;745.2;0;COMERCIO
Empresa 6937;CUNDINAMARCA;14024.1;-4966.5;5041.6;5041.6;0;MANUFACTURA
Empresa 6938;BOGOTA D.C.;14023.0;858.9;2107.7;2107.7;0;COMERCIO
Empresa 6939;BOGOTA D.C.;14021.5;-3.8;11879.3;11879.3;0;SERVICIOS
Empresa 6940;BOGOTA D.C.;14019.5;2027.7;4992.4;4992.4;0;SERVICIOS
Empresa 6941;QUINDIO;14017.8;830.1;3836.3;3836.3;0;MANUFACTURA
Empresa 6942;BOGOTA D.C.;14017.6;290.3;9379.1;9379.1;0;SERVICIOS
Empresa 6943;SANTANDER;14016.2;-1058.7;49971.5;49971.5;0;OTRO
Empresa 6944;CUNDINAMARCA;14012.3;1007.8;7265.0;7265.0;0;COMERCIO
Empresa 6945;BOGOTA D.C.;14011.6;1016.6;3818.7;3818.7;0;OTRO
Empresa 6946;BOLIVAR;14007.0;13961.3;208.9;208.9;0;SERVICIOS
Empresa 6947;BOGOTA D.C.;14002.7;591.8;3630.7;3630.7;0;COMERCIO
Empresa 6948;BOGOTA D.C.;13998.8;135.7;2117.9;2117.9;0;SERVICIOS
Empresa 6949;ANTIOQUIA;13998.4;789.5;1114.5;1114.5;1;OTRO
Empresa 6950;ANTIOQUIA;13997.8;837.1;5101.2;5101.2;1;MANUFACTURA
Empresa 6951;ANTIOQUIA;13996.8;321.1;3749.2;3749.2;1;MANUFACTURA
Empresa 6952;SANTANDER;13993.0;1765.3;7423.1;7423.1;0;COMERCIO
Empresa 6953;VALLE;13988.3;616.5;3704.9;3704.9;0;SERVICIOS
Empresa 6954;BOGOTA D.C. ;13988.3;542.4;2197.1;2197.1;0;COMERCIO
Empresa 6955;BOGOTA D.C.;13987.7;1118.1;32789.7;32789.7;0;SERVICIOS
Empresa 6956;ANTIOQUIA;13978.8;308.5;2087.5;2087.5;1;COMERCIO
Empresa 6957;ANTIOQUIA;13977.6;-236.8;6067.6;6067.6;1;COMERCIO
Empresa 6958;ANTIOQUIA;13977.5;346.5;1638.7;1638.7;1;COMERCIO
Empresa 6959;ANTIOQUIA;13977.3;1293.1;8958.1;8958.1;1;COMERCIO
Empresa 6960;BOGOTA D.C.;13976.5;589.2;4891.0;4891.0;0;OTRO
Empresa 6961;BOGOTA D.C.;13976.1;613.3;2267.9;2267.9;0;COMERCIO
Empresa 6962;ANTIOQUIA;13976.0;1393.2;6984.1;6984.1;1;OTRO
Empresa 6963;BOGOTA D.C.;13974.5;359.9;6996.3;6996.3;0;COMERCIO
Empresa 6964;BOGOTA D.C.;13972.5;196.9;616.0;616.0;0;MANUFACTURA
Empresa 6965;CUNDINAMARCA;13969.7;138.0;3980.9;3980.9;0;MANUFACTURA
Empresa 6966;BOGOTA D.C.;13969.1;217.2;2869.1;2869.1;0;SERVICIOS
Empresa 6967;BOGOTA D.C.;13965.5;18.7;4429.3;4429.3;0;SERVICIOS
Empresa 6968;BOGOTA D.C.;13962.9;267.1;20099.4;20099.4;0;OTRO
Empresa 6969;BOGOTA D.C.;13959.0;233.2;6792.5;6792.5;0;SERVICIOS
Empresa 6970;CUNDINAMARCA;13958.9;508.9;6452.2;6452.2;0;SERVICIOS
Empresa 6971;BOGOTA D.C.;13958.8;615.7;2893.5;2893.5;0;OTRO
Empresa 6972;BOGOTA D.C.;13953.6;616.0;9321.1;9321.1;0;SERVICIOS
